Item Code,Item Name,Total Projected Qty,Default Unit of Measure,Standard Selling Rate,Item Group,Auto Create Assets on Purchase,Minimum Order Qty,Allow Purchase
Laminate O/S + Backing Pressing,Laminate O/S + Backing Pressing,,,,Veneer Pressing Work,1,1,1
Laminate Pressing B/S,Laminate Pressing B/S,,,,Veneer Pressing Work,1,1,1
Mahogamy Crown B/S Pressing,Mahogamy Crown B/S Pressing,,,,Veneer Pressing Work,1,1,1
Mahogamy Crown O/S Backing Pressing,Mahogamy Crown O/S Backing Pressing,,,,Veneer Pressing Work,1,1,1
Maple Crown O/S Pressing,Maple Crown O/S Pressing,,,,Veneer Pressing Work,1,1,1
Maple Sunsilk B/S Pressing,Maple Sunsilk B/S Pressing,,,,Veneer Pressing Work,1,1,1
Maple Sunsilk O/S Backing Pressing,Maple Sunsilk O/S Backing Pressing,,,,Veneer Pressing Work,1,1,1
MDF MLM 4 x 8 x 12mm O/S Black FR,MDF MLM 4 x 8 x 12mm O/S Black FR,,,,Veneer Pressing Work,1,1,1
Melamine Lipping With Glue White 50 Mtr,Melamine Lipping With Glue White 50 Mtr,2,Roll,19,Veneer Pressing Work,1,1,1
Normal Pressing,Normal Pressing,,,,Veneer Pressing Work,1,1,1
Panel B/S Walnut Quarter,Panel B/S Walnut Quarter,,,,Veneer Pressing Work,1,1,1
Panel o/s Recon zebrano exc o/s backing,Panel o/s Recon zebrano exc o/s backing,,,,Veneer Pressing Work,1,1,1
